Iteration 100: Current Loss = 392166.288304943, T = 0.1781
Iteration 200: Current Loss = 390549.382942244, T = 0.1586
Iteration 300: Current Loss = 388923.65469398437, T = 0.1491
Iteration 400: Current Loss = 387436.4259008211, T = 0.1430
Iteration 500: Current Loss = 386506.85584897577, T = 0.1386
Iteration 600: Current Loss = 385918.065362904, T = 0.1352
Iteration 700: Current Loss = 385569.04153525067, T = 0.1324
Iteration 800: Current Loss = 385317.03768175107, T = 0.1301
Iteration 900: Current Loss = 385316.59583158063, T = 0.1281
Iteration 1000: Current Loss = 385114.8166695864, T = 0.1264
Optimization complete. Best Loss: 385114.8166695864 | Best Parameters: [1.93568407e+03 9.42792416e-02 2.44102868e+00]
Iteration 100: Current Loss = 390696.1240017232, T = 0.1781
Iteration 200: Current Loss = 389230.92036026734, T = 0.1586
Iteration 300: Current Loss = 388530.9658571947, T = 0.1491
Iteration 400: Current Loss = 388301.41547572584, T = 0.1430
Iteration 500: Current Loss = 388021.92871534324, T = 0.1386
Iteration 600: Current Loss = 387830.55994235305, T = 0.1352
Iteration 700: Current Loss = 387670.021919045, T = 0.1324
Iteration 800: Current Loss = 387581.41507769254, T = 0.1301
Iteration 900: Current Loss = 387357.27844920714, T = 0.1281
Iteration 1000: Current Loss = 387189.29093221156, T = 0.1264
Optimization complete. Best Loss: 387189.29093221156 | Best Parameters: [1.94232931e+03 2.37467225e-01 5.39929262e+00]
Iteration 100: Current Loss = 389063.4642364478, T = 0.1781
Iteration 200: Current Loss = 388397.95201833156, T = 0.1586
Iteration 300: Current Loss = 387882.7349406298, T = 0.1491
Iteration 400: Current Loss = 387767.6638113834, T = 0.1430
Iteration 500: Current Loss = 387576.9294478828, T = 0.1386
Iteration 600: Current Loss = 387539.45629370515, T = 0.1352
Iteration 700: Current Loss = 387365.84933350154, T = 0.1324
Iteration 800: Current Loss = 387001.08995328017, T = 0.1301
Iteration 900: Current Loss = 386705.9329718796, T = 0.1281
Iteration 1000: Current Loss = 385735.49286382826, T = 0.1264
Optimization complete. Best Loss: 385735.49286382826 | Best Parameters: [1.93894179e+03 4.38768223e-01 8.63754322e+00]
Iteration 100: Current Loss = 389143.69030448166, T = 0.1781
Iteration 200: Current Loss = 385641.839046824, T = 0.1586
Iteration 300: Current Loss = 385536.3342711621, T = 0.1491
Iteration 400: Current Loss = 385211.5968147609, T = 0.1430
Iteration 500: Current Loss = 384930.58226324845, T = 0.1386
Iteration 600: Current Loss = 384824.6863083382, T = 0.1352
Iteration 700: Current Loss = 384263.1095493086, T = 0.1324
Iteration 800: Current Loss = 383810.6349605226, T = 0.1301
Iteration 900: Current Loss = 382896.9581199069, T = 0.1281
Iteration 1000: Current Loss = 382232.2721070859, T = 0.1264
Optimization complete. Best Loss: 382232.2721070859 | Best Parameters: [1.92836558e+03 4.88372155e-01 8.36679299e+00]
Iteration 100: Current Loss = 387876.9799017853, T = 0.1781
Iteration 200: Current Loss = 382916.6702542174, T = 0.1586
Iteration 300: Current Loss = 379100.1509255944, T = 0.1491
Iteration 400: Current Loss = 376886.94184818835, T = 0.1430
Iteration 500: Current Loss = 375839.167537898, T = 0.1386
Iteration 600: Current Loss = 372066.91816238523, T = 0.1352
Iteration 700: Current Loss = 368750.04635273374, T = 0.1324
Iteration 800: Current Loss = 362938.101168365, T = 0.1301
Iteration 900: Current Loss = 359981.79706718493, T = 0.1281
Iteration 1000: Current Loss = 359735.47877725185, T = 0.1264
Optimization complete. Best Loss: 359735.47877725185 | Best Parameters: [1.86790750e+03 1.15287204e-01 1.99661167e+00]
Iteration 100: Current Loss = 386417.30165904923, T = 0.1781
Iteration 200: Current Loss = 385315.3906562039, T = 0.1586
Iteration 300: Current Loss = 385037.8239385642, T = 0.1491
Iteration 400: Current Loss = 384546.7961929246, T = 0.1430
Iteration 500: Current Loss = 384278.96092540526, T = 0.1386
Iteration 600: Current Loss = 384206.76459727745, T = 0.1352
Iteration 700: Current Loss = 384096.0007856489, T = 0.1324
Iteration 800: Current Loss = 384088.6068655852, T = 0.1301
Iteration 900: Current Loss = 384088.6068655852, T = 0.1281
Iteration 1000: Current Loss = 383365.31001198356, T = 0.1264
Optimization complete. Best Loss: 383365.31001198356 | Best Parameters: [1.93152720e+03 3.05396685e-01 6.05396464e+00]
Iteration 100: Current Loss = 389230.158651703, T = 0.1781
Iteration 200: Current Loss = 388481.17374835507, T = 0.1586
Iteration 300: Current Loss = 387967.61542713956, T = 0.1491
Iteration 400: Current Loss = 387712.6916091222, T = 0.1430
Iteration 500: Current Loss = 387308.29286448157, T = 0.1386
Iteration 600: Current Loss = 386696.3601626987, T = 0.1352
Iteration 700: Current Loss = 386246.72726037126, T = 0.1324
Iteration 800: Current Loss = 383979.0735321388, T = 0.1301
Iteration 900: Current Loss = 381783.1539781658, T = 0.1281
Iteration 1000: Current Loss = 379763.2656238191, T = 0.1264
Optimization complete. Best Loss: 379763.2656238191 | Best Parameters: [1.92673450e+03 9.55642668e-01 1.77468716e+01]
Iteration 100: Current Loss = 387011.60039204307, T = 0.1781
Iteration 200: Current Loss = 381388.4106021889, T = 0.1586
Iteration 300: Current Loss = 380320.5979694609, T = 0.1491
Iteration 400: Current Loss = 374484.8950808904, T = 0.1430
Iteration 500: Current Loss = 366770.93184738915, T = 0.1386
Iteration 600: Current Loss = 361851.70814863243, T = 0.1352
Iteration 700: Current Loss = 358555.78913689876, T = 0.1324
Iteration 800: Current Loss = 358378.1161102127, T = 0.1301
Iteration 900: Current Loss = 358217.9868056608, T = 0.1281
