Iteration 100: Current Loss = 354701.5732765249, T = 0.1781
Iteration 200: Current Loss = 353701.29701432394, T = 0.1586
Iteration 300: Current Loss = 353701.1388767042, T = 0.1491
Iteration 400: Current Loss = 353701.12317541154, T = 0.1430
Iteration 500: Current Loss = 353701.12317541154, T = 0.1386
Iteration 600: Current Loss = 353701.12317541154, T = 0.1352
Iteration 700: Current Loss = 353701.12317541154, T = 0.1324
Iteration 800: Current Loss = 353701.12317541154, T = 0.1301
Iteration 900: Current Loss = 353695.009008601, T = 0.1281
Iteration 1000: Current Loss = 353646.55635333847, T = 0.1264
Optimization complete. Best Loss: 353646.55635333847 | Best Parameters: [1.85000000e+03 2.79351989e-01 4.38350679e+00]
Iteration 100: Current Loss = 353701.20959769713, T = 0.1781
Iteration 200: Current Loss = 353701.1321218787, T = 0.1586
Iteration 300: Current Loss = 353701.1321218787, T = 0.1491
Iteration 400: Current Loss = 353701.1243838103, T = 0.1430
Iteration 500: Current Loss = 353701.12317541154, T = 0.1386
Iteration 600: Current Loss = 353701.12317541154, T = 0.1352
Iteration 700: Current Loss = 353701.12317541154, T = 0.1324
Iteration 800: Current Loss = 353701.12317541154, T = 0.1301
Iteration 900: Current Loss = 353701.12317541154, T = 0.1281
Iteration 1000: Current Loss = 353701.12317541154, T = 0.1264
Optimization complete. Best Loss: 353701.12317541154 | Best Parameters: [1.85e+03 5.00e-02 5.00e-02]
Iteration 100: Current Loss = 353701.233721503, T = 0.1781
Iteration 200: Current Loss = 353701.12707036064, T = 0.1586
Iteration 300: Current Loss = 353701.1239937366, T = 0.1491
Iteration 400: Current Loss = 353701.1239937366, T = 0.1430
Iteration 500: Current Loss = 353701.12317541154, T = 0.1386
Iteration 600: Current Loss = 353701.12317541154, T = 0.1352
Iteration 700: Current Loss = 353701.12317541154, T = 0.1324
Iteration 800: Current Loss = 353671.94149083406, T = 0.1301
Iteration 900: Current Loss = 353042.87473802443, T = 0.1281
Iteration 1000: Current Loss = 352709.2361929369, T = 0.1264
Optimization complete. Best Loss: 352709.2361929369 | Best Parameters: [1.85000000e+03 5.59603618e-01 8.98973273e+00]
Iteration 100: Current Loss = 353701.2916147788, T = 0.1781
Iteration 200: Current Loss = 353701.1260254609, T = 0.1586
Iteration 300: Current Loss = 353701.12317541154, T = 0.1491
Iteration 400: Current Loss = 353701.12317541154, T = 0.1430
Iteration 500: Current Loss = 353701.12317541154, T = 0.1386
Iteration 600: Current Loss = 353701.12317541154, T = 0.1352
Iteration 700: Current Loss = 353701.12317541154, T = 0.1324
Iteration 800: Current Loss = 353701.12317541154, T = 0.1301
Iteration 900: Current Loss = 353701.12317541154, T = 0.1281
Iteration 1000: Current Loss = 353701.12317541154, T = 0.1264
Optimization complete. Best Loss: 353701.12317541154 | Best Parameters: [1.85e+03 5.00e-02 5.00e-02]
Iteration 100: Current Loss = 353564.36430074135, T = 0.1781
Iteration 200: Current Loss = 352966.4672161877, T = 0.1586
Iteration 300: Current Loss = 352371.15452995826, T = 0.1491
Iteration 400: Current Loss = 352164.89175766724, T = 0.1430
Iteration 500: Current Loss = 351927.4073590382, T = 0.1386
Iteration 600: Current Loss = 351823.52260874346, T = 0.1352
Iteration 700: Current Loss = 351675.2289732445, T = 0.1324
Iteration 800: Current Loss = 351585.2809949589, T = 0.1301
Iteration 900: Current Loss = 351585.2809949589, T = 0.1281
Iteration 1000: Current Loss = 351578.9796258306, T = 0.1264
Optimization complete. Best Loss: 351578.9796258306 | Best Parameters: [1.85000000e+03 1.11531353e+00 1.96033148e+01]
Iteration 100: Current Loss = 353701.1282755877, T = 0.1781
Iteration 200: Current Loss = 353701.12317541154, T = 0.1586
Iteration 300: Current Loss = 353701.12317541154, T = 0.1491
Iteration 400: Current Loss = 353701.12317541154, T = 0.1430
Iteration 500: Current Loss = 353701.12317541154, T = 0.1386
Iteration 600: Current Loss = 353701.12317541154, T = 0.1352
Iteration 700: Current Loss = 353701.12317541154, T = 0.1324
Iteration 800: Current Loss = 353701.12317541154, T = 0.1301
Iteration 900: Current Loss = 353701.12317541154, T = 0.1281
Iteration 1000: Current Loss = 353701.12317541154, T = 0.1264
Optimization complete. Best Loss: 353701.12317541154 | Best Parameters: [1.85e+03 5.00e-02 5.00e-02]
Iteration 100: Current Loss = 353697.817108836, T = 0.1781
Iteration 200: Current Loss = 353217.8795220416, T = 0.1586
Iteration 300: Current Loss = 352724.6085497406, T = 0.1491
Iteration 400: Current Loss = 352112.18203725474, T = 0.1430
Iteration 500: Current Loss = 352041.98726530105, T = 0.1386
Iteration 600: Current Loss = 351758.7174157094, T = 0.1352
Iteration 700: Current Loss = 351712.76553240285, T = 0.1324
Iteration 800: Current Loss = 351680.4300405097, T = 0.1301
Iteration 900: Current Loss = 351659.6782837026, T = 0.1281
Iteration 1000: Current Loss = 351659.55039977055, T = 0.1264
Optimization complete. Best Loss: 351659.55039977055 | Best Parameters: [1.85000000e+03 9.83547947e-01 1.72401117e+01]
Iteration 100: Current Loss = 353701.12317541154, T = 0.1781
Iteration 200: Current Loss = 353701.12317541154, T = 0.1586
Iteration 300: Current Loss = 353682.35121964046, T = 0.1491
Iteration 400: Current Loss = 353182.06144763663, T = 0.1430
Iteration 500: Current Loss = 352656.79013920773, T = 0.1386
Iteration 600: Current Loss = 352215.93694532727, T = 0.1352
Iteration 700: Current Loss = 352154.69961131894, T = 0.1324
Iteration 800: Current Loss = 352154.69961131894, T = 0.1301
Iteration 900: Current Loss = 351798.0464902645, T = 0.1281
Iteration 1000: Current Loss = 351750.74279427796, T = 0.1264
