Iteration 100: Current Loss = 383758.449758639, T = 0.1781
Iteration 200: Current Loss = 382011.6414476903, T = 0.1586
Iteration 300: Current Loss = 380896.0804507561, T = 0.1491
Iteration 400: Current Loss = 379501.89810665534, T = 0.1430
Iteration 500: Current Loss = 377868.59548560233, T = 0.1386
Iteration 600: Current Loss = 376098.58694453497, T = 0.1352
Iteration 700: Current Loss = 374891.29416462436, T = 0.1324
Iteration 800: Current Loss = 374034.9221986406, T = 0.1301
Iteration 900: Current Loss = 373729.6054765377, T = 0.1281
Iteration 1000: Current Loss = 373265.1122271457, T = 0.1264
Optimization complete. Best Loss: 373265.1122271457 | Best Parameters: [1.90283844e+03 1.54931973e-01 2.40978946e+00]
Iteration 100: Current Loss = 382977.10588060884, T = 0.1781
Iteration 200: Current Loss = 381326.85965898196, T = 0.1586
Iteration 300: Current Loss = 378427.04885413393, T = 0.1491
Iteration 400: Current Loss = 377299.9202393356, T = 0.1430
Iteration 500: Current Loss = 377178.4329006324, T = 0.1386
Iteration 600: Current Loss = 376918.0414056046, T = 0.1352
Iteration 700: Current Loss = 376622.17356503074, T = 0.1324
Iteration 800: Current Loss = 376507.0084304564, T = 0.1301
Iteration 900: Current Loss = 376038.9867311975, T = 0.1281
Iteration 1000: Current Loss = 374841.6926272452, T = 0.1264
Optimization complete. Best Loss: 374841.6926272452 | Best Parameters: [1.90711812e+03 6.29559090e-01 7.25710953e+00]
Iteration 100: Current Loss = 380903.01004193985, T = 0.1781
Iteration 200: Current Loss = 377824.97480293765, T = 0.1586
Iteration 300: Current Loss = 377107.6815970573, T = 0.1491
Iteration 400: Current Loss = 377038.9307006345, T = 0.1430
Iteration 500: Current Loss = 376861.05231914803, T = 0.1386
Iteration 600: Current Loss = 376556.9390969412, T = 0.1352
Iteration 700: Current Loss = 376124.88760610315, T = 0.1324
Iteration 800: Current Loss = 375617.0336859594, T = 0.1301
Iteration 900: Current Loss = 373718.62739202066, T = 0.1281
Iteration 1000: Current Loss = 371714.63680730795, T = 0.1264
Optimization complete. Best Loss: 371714.63680730795 | Best Parameters: [1.89947865e+03 7.41356979e-01 1.01356299e+01]
Iteration 100: Current Loss = 381932.0924936857, T = 0.1781
Iteration 200: Current Loss = 379869.4179656474, T = 0.1586
Iteration 300: Current Loss = 378284.9612308362, T = 0.1491
Iteration 400: Current Loss = 376850.6176521086, T = 0.1430
Iteration 500: Current Loss = 375387.0025681534, T = 0.1386
Iteration 600: Current Loss = 374653.1472586126, T = 0.1352
Iteration 700: Current Loss = 373225.167222687, T = 0.1324
Iteration 800: Current Loss = 369556.9242069135, T = 0.1301
Iteration 900: Current Loss = 367251.23998173245, T = 0.1281
Iteration 1000: Current Loss = 366213.7138256758, T = 0.1264
Optimization complete. Best Loss: 366213.7138256758 | Best Parameters: [1.88526351e+03 7.28411832e-01 1.17279967e+01]
Iteration 100: Current Loss = 381268.71952380356, T = 0.1781
Iteration 200: Current Loss = 376941.0902111829, T = 0.1586
Iteration 300: Current Loss = 372273.659722423, T = 0.1491
Iteration 400: Current Loss = 366336.4697003952, T = 0.1430
Iteration 500: Current Loss = 364681.52815507853, T = 0.1386
Iteration 600: Current Loss = 361021.2007619543, T = 0.1352
Iteration 700: Current Loss = 356275.67298588424, T = 0.1324
Iteration 800: Current Loss = 355516.3763342782, T = 0.1301
Iteration 900: Current Loss = 355037.61197036173, T = 0.1281
Iteration 1000: Current Loss = 354958.34784898406, T = 0.1264
Optimization complete. Best Loss: 354958.34784898406 | Best Parameters: [1.85632144e+03 1.56569495e-01 3.97020579e+00]
Iteration 100: Current Loss = 380500.63087695657, T = 0.1781
Iteration 200: Current Loss = 377149.4907493722, T = 0.1586
Iteration 300: Current Loss = 372630.7494250101, T = 0.1491
Iteration 400: Current Loss = 368343.8208504946, T = 0.1430
Iteration 500: Current Loss = 367149.5447960454, T = 0.1386
Iteration 600: Current Loss = 362716.0227886051, T = 0.1352
Iteration 700: Current Loss = 359805.85617013654, T = 0.1324
Iteration 800: Current Loss = 356979.58433013165, T = 0.1301
Iteration 900: Current Loss = 356329.82938592305, T = 0.1281
Iteration 1000: Current Loss = 353767.4689322206, T = 0.1264
Optimization complete. Best Loss: 353767.4689322206 | Best Parameters: [1.85460475e+03 6.62973687e-01 1.16675217e+01]
Iteration 100: Current Loss = 381217.54511304136, T = 0.1781
Iteration 200: Current Loss = 375592.9505955118, T = 0.1586
Iteration 300: Current Loss = 372665.4128332787, T = 0.1491
Iteration 400: Current Loss = 370099.8887033685, T = 0.1430
Iteration 500: Current Loss = 367280.177409683, T = 0.1386
Iteration 600: Current Loss = 364525.43355269503, T = 0.1352
Iteration 700: Current Loss = 361598.94430816296, T = 0.1324
Iteration 800: Current Loss = 358374.40918613184, T = 0.1301
Iteration 900: Current Loss = 356293.97102852445, T = 0.1281
Iteration 1000: Current Loss = 355545.3120800179, T = 0.1264
Optimization complete. Best Loss: 355545.3120800179 | Best Parameters: [1.85872741e+03 5.69952860e-01 1.12891143e+01]
Iteration 100: Current Loss = 379545.01654961525, T = 0.1781
Iteration 200: Current Loss = 372949.0199002904, T = 0.1586
Iteration 300: Current Loss = 371005.3775799649, T = 0.1491
Iteration 400: Current Loss = 366174.06634773745, T = 0.1430
Iteration 500: Current Loss = 359878.45438041765, T = 0.1386
Iteration 600: Current Loss = 358972.7019380163, T = 0.1352
Iteration 700: Current Loss = 358857.6466407335, T = 0.1324
Iteration 800: Current Loss = 358499.13653948624, T = 0.1301
Iteration 900: Current Loss = 357750.8459152246, T = 0.1281
Iteration 1000: Current Loss = 357271.7230681247, T = 0.1264
Optimization complete. Best Loss: 357271.7230681247 | Best Parameters: [1.86236322e+03 3.09429896e-01 6.60342524e+00]
Iteration 100: Current Loss = 380817.4851420225, T = 0.1781
Iteration 200: Current Loss = 376878.4544988915, T = 0.1586
Iteration 300: Current Loss = 370832.3851418183, T = 0.1491
Iteration 400: Current Loss = 368926.1518862757, T = 0.1430
Iteration 500: Current Loss = 362481.92922218586, T = 0.1386
Iteration 600: Current Loss = 358844.9648817596, T = 0.1352
Iteration 700: Current Loss = 357984.28851652116, T = 0.1324
Iteration 800: Current Loss = 357703.302186674, T = 0.1301
Iteration 900: Current Loss = 356715.13189795474, T = 0.1281
Iteration 1000: Current Loss = 353536.6436249986, T = 0.1264
Optimization complete. Best Loss: 353536.6436249986 | Best Parameters: [1.85394558e+03 5.49876559e-01 1.08935111e+01]
Iteration 100: Current Loss = 377396.1251750691, T = 0.1781
Iteration 200: Current Loss = 372858.69934563944, T = 0.1586
Iteration 300: Current Loss = 368878.85402329627, T = 0.1491
Iteration 400: Current Loss = 367609.4067872568, T = 0.1430
Iteration 500: Current Loss = 367126.55270100746, T = 0.1386
Iteration 600: Current Loss = 365384.51861337107, T = 0.1352
Iteration 700: Current Loss = 361901.52272100624, T = 0.1324
Iteration 800: Current Loss = 357729.01668724, T = 0.1301
Iteration 900: Current Loss = 354400.94378326146, T = 0.1281
Iteration 1000: Current Loss = 352981.1899716771, T = 0.1264
Optimization complete. Best Loss: 352981.1899716771 | Best Parameters: [1.85315615e+03 7.63154186e-01 1.47140409e+01]
Iteration 100: Current Loss = 377469.6816034942, T = 0.1781
Iteration 200: Current Loss = 368965.4371644985, T = 0.1586
Iteration 300: Current Loss = 360399.59956023155, T = 0.1491
Iteration 400: Current Loss = 353701.58266102796, T = 0.1430
Iteration 500: Current Loss = 353324.65237321134, T = 0.1386
Iteration 600: Current Loss = 352422.9064162443, T = 0.1352
Iteration 700: Current Loss = 352146.78822540486, T = 0.1324
Iteration 800: Current Loss = 351976.64162587764, T = 0.1301
Iteration 900: Current Loss = 351773.239823798, T = 0.1281
Iteration 1000: Current Loss = 351713.78469484986, T = 0.1264
Optimization complete. Best Loss: 351713.78469484986 | Best Parameters: [1.85000000e+03 8.32813486e-01 1.61293706e+01]
Iteration 100: Current Loss = 379962.53487995936, T = 0.1781
Iteration 200: Current Loss = 377051.34374615736, T = 0.1586
Iteration 300: Current Loss = 376878.2476503288, T = 0.1491
Iteration 400: Current Loss = 371509.46828772954, T = 0.1430
Iteration 500: Current Loss = 365430.66786665143, T = 0.1386
Iteration 600: Current Loss = 359050.47839492216, T = 0.1352
Iteration 700: Current Loss = 358140.4206866749, T = 0.1324
Iteration 800: Current Loss = 356443.1455430867, T = 0.1301
Iteration 900: Current Loss = 354878.0290041063, T = 0.1281
Iteration 1000: Current Loss = 352384.4864457764, T = 0.1264
Optimization complete. Best Loss: 352384.4864457764 | Best Parameters: [1.85000000e+03 5.18302730e-01 1.06077213e+01]
Iteration 100: Current Loss = 377724.9235668341, T = 0.1781
Iteration 200: Current Loss = 368795.0068884633, T = 0.1586
Iteration 300: Current Loss = 360771.46765932825, T = 0.1491
Iteration 400: Current Loss = 359921.62468795886, T = 0.1430
Iteration 500: Current Loss = 359134.9155225251, T = 0.1386
Iteration 600: Current Loss = 359099.19174887013, T = 0.1352
Iteration 700: Current Loss = 359099.19174887013, T = 0.1324
Iteration 800: Current Loss = 358847.5739630481, T = 0.1301
Iteration 900: Current Loss = 358847.5739630481, T = 0.1281
