Iteration 100: Current Loss = 367324.3429123304, T = 0.1781
Iteration 200: Current Loss = 366055.31225231575, T = 0.1586
Iteration 300: Current Loss = 365305.1364274536, T = 0.1491
Iteration 400: Current Loss = 365178.7518752301, T = 0.1430
Iteration 500: Current Loss = 364946.5296981897, T = 0.1386
Iteration 600: Current Loss = 364555.4145650466, T = 0.1352
Iteration 700: Current Loss = 364308.0952130631, T = 0.1324
Iteration 800: Current Loss = 364048.4507564945, T = 0.1301
Iteration 900: Current Loss = 363641.1037552111, T = 0.1281
Iteration 1000: Current Loss = 363168.6586098941, T = 0.1264
Optimization complete. Best Loss: 363168.6586098941 | Best Parameters: [1.87594979e+03 2.79254130e-01 4.33628911e+00]
Iteration 100: Current Loss = 367400.3923329277, T = 0.1781
Iteration 200: Current Loss = 367207.1259317551, T = 0.1586
Iteration 300: Current Loss = 366883.2521266095, T = 0.1491
Iteration 400: Current Loss = 365362.83564714895, T = 0.1430
Iteration 500: Current Loss = 364096.5166569404, T = 0.1386
Iteration 600: Current Loss = 362673.7016347504, T = 0.1352
Iteration 700: Current Loss = 361404.0926859691, T = 0.1324
Iteration 800: Current Loss = 359904.6732983289, T = 0.1301
Iteration 900: Current Loss = 357939.21777282027, T = 0.1281
Iteration 1000: Current Loss = 356553.80210263364, T = 0.1264
Optimization complete. Best Loss: 356553.80210263364 | Best Parameters: [1.86112395e+03 6.16912173e-01 1.05796231e+01]
Iteration 100: Current Loss = 365283.3142153064, T = 0.1781
Iteration 200: Current Loss = 362812.8954510009, T = 0.1586
Iteration 300: Current Loss = 359473.9563705937, T = 0.1491
Iteration 400: Current Loss = 359420.3033722988, T = 0.1430
Iteration 500: Current Loss = 358947.3078187953, T = 0.1386
Iteration 600: Current Loss = 358947.3078187953, T = 0.1352
Iteration 700: Current Loss = 358762.1708145857, T = 0.1324
Iteration 800: Current Loss = 358674.85407082376, T = 0.1301
Iteration 900: Current Loss = 358647.60946572555, T = 0.1281
Iteration 1000: Current Loss = 358564.7612497966, T = 0.1264
Optimization complete. Best Loss: 358564.7612497966 | Best Parameters: [1.86687392e+03 1.70688045e-01 4.09386767e+00]
Iteration 100: Current Loss = 364995.98239244934, T = 0.1781
Iteration 200: Current Loss = 363707.5213970375, T = 0.1586
Iteration 300: Current Loss = 359942.6193717944, T = 0.1491
Iteration 400: Current Loss = 358351.7029717147, T = 0.1430
Iteration 500: Current Loss = 358252.43050047616, T = 0.1386
Iteration 600: Current Loss = 357821.536884982, T = 0.1352
