T0,sigma
100.0,0.001
100.0,0.0005
100.0,0.0001
100.0,5e-05
100.0,1e-05
100.0,5e-06
100.0,1e-06
100.0,5e-07
50.0,0.001
50.0,0.0005
50.0,0.0001
50.0,5e-05
50.0,1e-05
50.0,5e-06
50.0,1e-06
50.0,5e-07
20.0,0.001
20.0,0.0005
20.0,0.0001
20.0,5e-05
20.0,1e-05
20.0,5e-06
20.0,1e-06
20.0,5e-07
10.0,0.001
10.0,0.0005
10.0,0.0001
10.0,5e-05
10.0,1e-05
10.0,5e-06
10.0,1e-06
10.0,5e-07
5.0,0.001
5.0,0.0005
5.0,0.0001
5.0,5e-05
5.0,1e-05
5.0,5e-06
5.0,1e-06
5.0,5e-07
1.0,0.001
1.0,0.0005
1.0,0.0001
1.0,5e-05
1.0,1e-05
1.0,5e-06
1.0,1e-06
1.0,5e-07
0.1,0.001
0.1,0.0005
0.1,0.0001
0.1,5e-05
0.1,1e-05
0.1,5e-06
0.1,1e-06
0.1,5e-07
0.01,0.001
0.01,0.0005
0.01,0.0001
0.01,5e-05
0.01,1e-05
0.01,5e-06
0.01,1e-06
0.01,5e-07
