Iteration 100: Current Loss = 388035.0014694825, T = 0.1781
Iteration 200: Current Loss = 387106.10020621814, T = 0.1586
Iteration 300: Current Loss = 386107.194760086, T = 0.1491
Iteration 400: Current Loss = 385742.4676253375, T = 0.1430
Iteration 500: Current Loss = 385582.1108342532, T = 0.1386
Iteration 600: Current Loss = 385567.8441457998, T = 0.1352
Iteration 700: Current Loss = 385493.7096136585, T = 0.1324
Iteration 800: Current Loss = 385434.08968328295, T = 0.1301
Iteration 900: Current Loss = 385289.9999119667, T = 0.1281
Iteration 1000: Current Loss = 385048.6883603719, T = 0.1264
Optimization complete. Best Loss: 385048.6883603719 | Best Parameters: [1.93551281e+03 9.19529920e-02 2.43146871e+00]
Iteration 100: Current Loss = 386739.3533942143, T = 0.1781
Iteration 200: Current Loss = 385705.71761096653, T = 0.1586
Iteration 300: Current Loss = 385264.8482798172, T = 0.1491
Iteration 400: Current Loss = 384875.87167222786, T = 0.1430
Iteration 500: Current Loss = 384505.99540760147, T = 0.1386
Iteration 600: Current Loss = 384207.3024204413, T = 0.1352
Iteration 700: Current Loss = 383867.43381476816, T = 0.1324
Iteration 800: Current Loss = 383719.5617659389, T = 0.1301
Iteration 900: Current Loss = 383391.1264909844, T = 0.1281
Iteration 1000: Current Loss = 383100.39926042577, T = 0.1264
Optimization complete. Best Loss: 383100.39926042577 | Best Parameters: [1.93051624e+03 3.09103544e-01 6.38615055e+00]
Iteration 100: Current Loss = 384707.69276064367, T = 0.1781
Iteration 200: Current Loss = 384670.95874066645, T = 0.1586
Iteration 300: Current Loss = 384543.6169341864, T = 0.1491
Iteration 400: Current Loss = 384402.680793061, T = 0.1430
Iteration 500: Current Loss = 383896.4053183663, T = 0.1386
Iteration 600: Current Loss = 383734.0312767557, T = 0.1352
Iteration 700: Current Loss = 383349.9838932009, T = 0.1324
Iteration 800: Current Loss = 382842.39644797076, T = 0.1301
Iteration 900: Current Loss = 382556.82943491434, T = 0.1281
Iteration 1000: Current Loss = 381969.4435372775, T = 0.1264
Optimization complete. Best Loss: 381969.4435372775 | Best Parameters: [1.92837673e+03 5.23456065e-01 9.52325897e+00]
Iteration 100: Current Loss = 384770.4850118449, T = 0.1781
Iteration 200: Current Loss = 380584.31216433627, T = 0.1586
Iteration 300: Current Loss = 377475.7515635021, T = 0.1491
Iteration 400: Current Loss = 377116.01497535576, T = 0.1430
Iteration 500: Current Loss = 377085.87469893077, T = 0.1386
Iteration 600: Current Loss = 374518.14524507936, T = 0.1352
Iteration 700: Current Loss = 369134.22446010064, T = 0.1324
Iteration 800: Current Loss = 365781.2843840857, T = 0.1301
Iteration 900: Current Loss = 363070.46687626536, T = 0.1281
Iteration 1000: Current Loss = 360158.5396792824, T = 0.1264
Optimization complete. Best Loss: 360158.5396792824 | Best Parameters: [1.86803985e+03 7.80390735e-01 6.40338441e+00]
Iteration 100: Current Loss = 388327.8222440397, T = 0.1781
Iteration 200: Current Loss = 387581.1418700196, T = 0.1586
Iteration 300: Current Loss = 387355.9406774353, T = 0.1491
Iteration 400: Current Loss = 386846.10228420293, T = 0.1430
Iteration 500: Current Loss = 386449.40107045823, T = 0.1386
Iteration 600: Current Loss = 385942.30849489477, T = 0.1352
Iteration 700: Current Loss = 383963.96414286876, T = 0.1324
Iteration 800: Current Loss = 382919.59038394643, T = 0.1301
Iteration 900: Current Loss = 382100.58047820133, T = 0.1281
Iteration 1000: Current Loss = 380151.57905959134, T = 0.1264
Optimization complete. Best Loss: 380151.57905959134 | Best Parameters: [1.92699636e+03 7.69597187e-01 1.59989452e+01]
Iteration 100: Current Loss = 384218.75232645567, T = 0.1781
Iteration 200: Current Loss = 381027.29300242465, T = 0.1586
Iteration 300: Current Loss = 379402.83164574514, T = 0.1491
