Iteration 100: Current Loss = 388060.83457634307, T = 0.1781
Iteration 200: Current Loss = 386937.9877620649, T = 0.1586
Iteration 300: Current Loss = 385431.20398018794, T = 0.1491
Iteration 400: Current Loss = 383667.02771820454, T = 0.1430
Iteration 500: Current Loss = 382092.7467024457, T = 0.1386
Iteration 600: Current Loss = 380970.3038697367, T = 0.1352
Iteration 700: Current Loss = 380589.44975156884, T = 0.1324
Iteration 800: Current Loss = 380165.94452837063, T = 0.1301
Iteration 900: Current Loss = 379901.3092915258, T = 0.1281
Iteration 1000: Current Loss = 379529.6289596254, T = 0.1264
Optimization complete. Best Loss: 379529.6289596254 | Best Parameters: [1.91970589e+03 3.53998741e-01 5.98694290e+00]
Iteration 100: Current Loss = 386934.65426269517, T = 0.1781
Iteration 200: Current Loss = 383458.6615444859, T = 0.1586
Iteration 300: Current Loss = 380796.02972485556, T = 0.1491
Iteration 400: Current Loss = 377611.1690707057, T = 0.1430
Iteration 500: Current Loss = 374765.2343095402, T = 0.1386
Iteration 600: Current Loss = 373158.52539903723, T = 0.1352
Iteration 700: Current Loss = 372596.97220658825, T = 0.1324
Iteration 800: Current Loss = 372268.9712442843, T = 0.1301
Iteration 900: Current Loss = 371251.0857457988, T = 0.1281
Iteration 1000: Current Loss = 367976.25011968624, T = 0.1264
Optimization complete. Best Loss: 367976.25011968624 | Best Parameters: [1.88989078e+03 2.53778427e-01 4.34648955e+00]
Iteration 100: Current Loss = 386316.2107226286, T = 0.1781
Iteration 200: Current Loss = 385430.0293897849, T = 0.1586
Iteration 300: Current Loss = 384921.7157350461, T = 0.1491
Iteration 400: Current Loss = 384056.66640008386, T = 0.1430
Iteration 500: Current Loss = 383810.8875066946, T = 0.1386
Iteration 600: Current Loss = 383295.8209534418, T = 0.1352
Iteration 700: Current Loss = 383010.8994597522, T = 0.1324
Iteration 800: Current Loss = 382570.6980999154, T = 0.1301
Iteration 900: Current Loss = 381611.55864396296, T = 0.1281
Iteration 1000: Current Loss = 381182.4726714206, T = 0.1264
Optimization complete. Best Loss: 381182.4726714206 | Best Parameters: [1.92747862e+03 6.40006679e-01 1.20098603e+01]
Iteration 100: Current Loss = 387722.1790959564, T = 0.1781
Iteration 200: Current Loss = 387553.25924194825, T = 0.1586
Iteration 300: Current Loss = 387051.2124378232, T = 0.1491
Iteration 400: Current Loss = 386405.04073374014, T = 0.1430
Iteration 500: Current Loss = 385945.60690740164, T = 0.1386
Iteration 600: Current Loss = 385230.88423151657, T = 0.1352
Iteration 700: Current Loss = 384856.74998059095, T = 0.1324
Iteration 800: Current Loss = 384147.19496004906, T = 0.1301
Iteration 900: Current Loss = 382855.5853031131, T = 0.1281
Iteration 1000: Current Loss = 381897.48671762797, T = 0.1264
Optimization complete. Best Loss: 381897.48671762797 | Best Parameters: [1.93210440e+03 7.48589151e-01 1.54743136e+01]
Iteration 100: Current Loss = 383217.1132916781, T = 0.1781
Iteration 200: Current Loss = 377888.1002458774, T = 0.1586
Iteration 300: Current Loss = 372812.8733832944, T = 0.1491
Iteration 400: Current Loss = 369136.9055683782, T = 0.1430
Iteration 500: Current Loss = 367974.67433573515, T = 0.1386
Iteration 600: Current Loss = 367313.97900151106, T = 0.1352
Iteration 700: Current Loss = 363600.47747835243, T = 0.1324
Iteration 800: Current Loss = 359443.99945621827, T = 0.1301
Iteration 900: Current Loss = 355663.75382582116, T = 0.1281
Iteration 1000: Current Loss = 353243.89031247876, T = 0.1264
Optimization complete. Best Loss: 353243.89031247876 | Best Parameters: [1.85352162e+03 6.71711430e-01 1.24108289e+01]
Iteration 100: Current Loss = 385310.1330909796, T = 0.1781
Iteration 200: Current Loss = 378694.65176460356, T = 0.1586
Iteration 300: Current Loss = 374286.40874331543, T = 0.1491
Iteration 400: Current Loss = 371577.72762289876, T = 0.1430
Iteration 500: Current Loss = 369363.21509001043, T = 0.1386
Iteration 600: Current Loss = 366081.0563648086, T = 0.1352
Iteration 700: Current Loss = 362903.86437407683, T = 0.1324
