Starting optimization...
Initial parameters: [1.94590000e+03 4.68421053e-01 4.84210526e+00]
Sigma: 0.23357214690901212, Iterations: 100000
Initial loss: 14825.380962030704
Iteration 1000: Loss = 12483.978726100346
Iteration 2000: Loss = 11869.819835969522
Iteration 3000: Loss = 11321.696375848065
Iteration 4000: Loss = 10893.359457561546
Iteration 5000: Loss = 10513.937439175705
Iteration 6000: Loss = 10018.005447871665
Iteration 7000: Loss = 9247.005844971743
Iteration 8000: Loss = 8442.57949466
Iteration 9000: Loss = 8167.060000554049
Iteration 10000: Loss = 8015.637751413869
Iteration 11000: Loss = 7868.00559876349
Iteration 12000: Loss = 7777.0863118733405
Iteration 13000: Loss = 7692.63037343066
Iteration 14000: Loss = 7597.303632878621
Iteration 15000: Loss = 7511.448454822245
Iteration 16000: Loss = 7417.298078869448
Iteration 17000: Loss = 7325.675371021293
Iteration 18000: Loss = 7212.982310237947
Iteration 19000: Loss = 7100.21715167072
Iteration 20000: Loss = 7003.468469711561
Iteration 21000: Loss = 6898.263655468711
Iteration 22000: Loss = 6787.62157933287
Iteration 23000: Loss = 6679.71784073621
Iteration 24000: Loss = 6584.3163983446775
Iteration 25000: Loss = 6483.377923424085
Iteration 26000: Loss = 6397.051521466462
Iteration 27000: Loss = 6307.890083470786
Iteration 28000: Loss = 6232.890117597051
Iteration 29000: Loss = 6170.815455981895
Iteration 30000: Loss = 6107.281813209913
Iteration 31000: Loss = 6047.282180391427
Iteration 32000: Loss = 6000.11759158405
Iteration 33000: Loss = 5952.116985646217
Iteration 34000: Loss = 5905.812302937034
Iteration 35000: Loss = 5872.565726589155
Iteration 36000: Loss = 5834.198733407598
Iteration 37000: Loss = 5807.885671507605
Iteration 38000: Loss = 5788.71963708847
Iteration 39000: Loss = 5774.418873183897
Iteration 40000: Loss = 5757.657575660923
Iteration 41000: Loss = 5743.458882905584
Iteration 42000: Loss = 5732.027035328025
Iteration 43000: Loss = 5721.350804721584
Iteration 44000: Loss = 5713.918028335527
Iteration 45000: Loss = 5702.876556847973
Iteration 46000: Loss = 5696.072015107484
Iteration 47000: Loss = 5689.977078659376
Iteration 48000: Loss = 5684.9220645769465
Iteration 49000: Loss = 5681.580456605058
Iteration 50000: Loss = 5678.574340321989
Iteration 51000: Loss = 5675.257983269592
Iteration 52000: Loss = 5673.388009421428
Iteration 53000: Loss = 5671.018216555866
Iteration 54000: Loss = 5668.813071535396
Iteration 55000: Loss = 5667.487549550093
Iteration 56000: Loss = 5666.258278048431
Iteration 57000: Loss = 5665.454255082629
Iteration 58000: Loss = 5664.23571607392
Iteration 59000: Loss = 5663.3253817637105
Iteration 60000: Loss = 5662.632048486837
Iteration 61000: Loss = 5662.13758519687
Iteration 62000: Loss = 5661.822203871641
Iteration 63000: Loss = 5661.440999514034
Iteration 64000: Loss = 5661.217546529665
Iteration 65000: Loss = 5661.054606209316
Iteration 66000: Loss = 5660.891293256465
Iteration 67000: Loss = 5660.802468999923
Iteration 68000: Loss = 5660.798595504757
Iteration 69000: Loss = 5660.791385146636
Iteration 70000: Loss = 5660.787615970462
Iteration 71000: Loss = 5660.77577149841
Iteration 72000: Loss = 5660.7733443021725
Iteration 73000: Loss = 5660.7733443021725
Iteration 74000: Loss = 5660.77326577061
Iteration 75000: Loss = 5660.77326577061
Iteration 76000: Loss = 5660.771103223985
Iteration 77000: Loss = 5660.770573391053
Iteration 78000: Loss = 5660.770573391053
Iteration 79000: Loss = 5660.770573391053
Iteration 80000: Loss = 5660.770573391053
Iteration 81000: Loss = 5660.770459925589
Iteration 82000: Loss = 5660.770324568982
Iteration 83000: Loss = 5660.770324568982
Iteration 84000: Loss = 5660.77023172463
Iteration 85000: Loss = 5660.77023172463
Iteration 86000: Loss = 5660.77023172463
Iteration 87000: Loss = 5660.770203544255
Iteration 88000: Loss = 5660.770203544255
Iteration 89000: Loss = 5660.770203544255
Iteration 90000: Loss = 5660.770203544255
Iteration 91000: Loss = 5660.770203544255
Iteration 92000: Loss = 5660.770203544255
Iteration 93000: Loss = 5660.770203544255
Iteration 94000: Loss = 5660.770203544255
Iteration 95000: Loss = 5660.770113983862
Iteration 96000: Loss = 5660.770113983862
Iteration 97000: Loss = 5660.770113983862
Iteration 98000: Loss = 5660.770113983862
Iteration 99000: Loss = 5660.770113983862
Iteration 100000: Loss = 5660.770113983862
Best loss: 5660.770113983862 | Parameters: [198.47735558  14.9993302  757.02233283]
Optimization complete.
Optimized parameters: [198.47735558  14.9993302  757.02233283]
